Наименование,Артикул,Цена Pyramex,Наша цена,Описание,Ссылка,Ссылка на изображение
Stonewall VGSB422T (Anti-Fog) темно-зеленые линзы 10% светопропускаемость,VGSB422T,5590,5090,Профессиональные баллистические стрелковые очки Pyramex Venture Gear Tactical - Stonewall VGSB422T (Anti-Fog) - противоосколочные защитные очки с антифогом,https://www.pyramex.net/stonewall-sb422t-anti-fog/,https://www.pyramex.net/wa-data/public/shop/products/17/02/217/images/368/368.750.jpg
Stonewall VGSB470T (Anti-Fog) зеркально-серые линзы 16% светопропускаемость,VGSB470T,5590,5090,Профессиональные баллистические стрелковые очки Pyramex Venture Gear Tactical - Stonewall VGSB470T (Anti-Fog) - противоосколочные защитные очки с антифогом,https://www.pyramex.net/stonewall-sb470t-anti-fog/,https://www.pyramex.net/wa-data/public/shop/products/18/02/218/images/373/373.750.jpg
Overwatch VGSG718T (Anti-Fog) коричневые 23% светопропускаемость,VGSG718T,5590,5090,Overwatch VGSG718T (Anti-Fog) коричневые 23% светопропускаемость,https://www.pyramex.net/overwatch-vgsg718t/,https://www.pyramex.net/wa-data/public/shop/products/06/04/406/images/1323/1323.750.jpg
Overwatch VGSB770T (Anti-Fog) зеркально-серые линзы 16% светопропускаемость,VGSB770T,5690,5180,Профессиональные баллистические тактические очки Pyramex Venture Gear - Overwatch VGSB770T (Anti-Fog) - противоосколочные защитные очки с антифогом,https://www.pyramex.net/overwatch-sb770t-anti-fog/,https://www.pyramex.net/wa-data/public/shop/products/98/01/198/images/268/268.750.jpg
Semtex VGSB8120DT (ANTI-FOG) темно-серые линзы 23% светопропускаемость,VGSB8120DT,5990,5450,Профессиональные баллистические стрелковые очки Pyramex Venture Gear Tactical - Semtex VGSB8120DT (Anti-Fog) - противоосколочные защитные очки с антифогом,https://www.pyramex.net/semtex-sb8120dt-anti-fog/,https://www.pyramex.net/wa-data/public/shop/products/14/02/214/images/348/348.750.jpg
Semtex VGSB8170D зеркально-серые линзы 16% светопропускаемость,VGSB8170D,5990,5450,Профессиональные баллистические стрелковые очки Pyramex Venture Gear Tactical - Semtex VGSB8170D - противоосколочные защитные очки,https://www.pyramex.net/semtex-sb8170d/,https://www.pyramex.net/wa-data/public/shop/products/15/02/215/images/358/358.750.jpg
Drone VGSB8370S темно-серые линзы 16% светопропускаемость,VGSB8370S,6390,5810,Профессиональные баллистические стрелковые очки Pyramex Venture Gear Tactical - Drone VGSB8370S - противоосколочные защитные очки,https://www.pyramex.net/drone-vgsb8370s/,https://www.pyramex.net/wa-data/public/shop/products/62/01/162/images/105/105.750.jpg
DUCAB2-KIT  (4 сменные линзы),DUCAB2-KIT,7690,7000,Премиальные профессиональные баллистические  стрелковые очки со сменными линзами Pyramex Ducks Unlimited DUCAB2-KIT - противоосколочные очки,https://www.pyramex.net/ducab2-kit-4-smennye-linzy/,https://www.pyramex.net/wa-data/public/shop/products/53/01/153/images/72/72.750.jpg
DUCAB-KIT (5 сменных линз),DUCAB-KIT,7990,7270,Премиальные профессиональные стрелковые очки со сменными линзами Pyramex Ducks Unlimited - DUCAB-KIT - противоосколочные очки - противоосколочные защитные очки,https://www.pyramex.net/ducab-kit/,https://www.pyramex.net/wa-data/public/shop/products/64/01/164/images/112/112.750.jpg
Dropzone VGSB88KIT (4 сменные линзы),VGSB88KIT,8690,7910,Премиальные профессиональные стрелковые очки со сменными линзами Pyramex Venture Gear Dropzone VGSB88KIT  - противоосколочные защитные очки,https://www.pyramex.net/dropzone-sb88kit-4-linzy-anti-fog/,https://www.pyramex.net/wa-data/public/shop/products/63/01/163/images/108/108.750.jpg
Pagosa VGSB523 темно-серые линзы 7% светопропускаемость,VGSB523,10890,9910,Pagosa VGSB523,https://www.pyramex.net/vgsb523/,https://www.pyramex.net/wa-data/public/shop/products/30/03/330/images/742/742.750.JPG
Tensaw VGSB323 темно-серые линзы 7% светопропускаемость,VGSB323,11450,10420,Tensaw VGSB323,https://www.pyramex.net/vgsb323/,https://www.pyramex.net/wa-data/public/shop/products/29/03/329/images/749/749.750.JPG
Tensaw VGSWR351 Polarized зеркально-красные 7%,VGSWR351,11450,10420,Tensaw VGSWR351 Polarized зеркально-красные 7%,https://www.pyramex.net/tensaw-vgswr351/,https://www.pyramex.net/wa-data/public/shop/products/55/04/455/images/1365/1365.750.jpg
Intruder S4110S прозрачные 96% светопропускаемость,S4110S,750,680,Intruder S4110S прозрачные 96% светопропускаемость,https://www.pyramex.net/intruder-s4110s/,https://www.pyramex.net/wa-data/public/shop/products/31/04/431/images/1211/1211.750.jpg
Intruder S4110ST (Anti-Fog) прозрачные 96% светопропускаемость,S4110ST,850,770,Intruder S4110ST (Anti-Fog) прозрачные 96% светопропускаемость,https://www.pyramex.net/intruder-s4110st/,https://www.pyramex.net/wa-data/public/shop/products/32/04/432/images/1212/1212.750.jpg
Provoq S7220S темно-серые линзы 23% светопропускаемость,S7220S,950,860,Профессиональные баллистические стрелковые очки начального уровня Pyramex - Provoq S7220S - противоосколочные защитные очки,https://www.pyramex.net/s7220s/,https://www.pyramex.net/wa-data/public/shop/products/13/03/313/images/653/653.750.jpg
Provoq S7240S оранжевые линзы 51% светопропускаемость,S7240S,950,860,Профессиональные баллистические стрелковые очки начального уровня Pyramex - Provoq S7240S - противоосколочные защитные очки,https://www.pyramex.net/s7240s/,https://www.pyramex.net/wa-data/public/shop/products/15/03/315/images/663/663.750.jpg
Provoq S7255S хамелеон 14% светопропускаемость,S7255S,1090,990,Provoq S7255S хамелеон 14% светопропускаемость,https://www.pyramex.net/provoq-s7255s-khameleon-14-svetopropuskaemost/,https://www.pyramex.net/wa-data/public/shop/products/87/03/387/images/1136/1136.750.jpg
Беруши + очки Mini Ztek (PMX) PYS2510SNDP (31ДБ) (Детские) прозрачные линзы 96% светопропускаемость,PYS2510SNDP,1190,1080,Профессиональные стрелковые очки + беруши Mini Ztek  (PMX) PYS2510SNDP (31ДБ) - противоосколочные защитные очки,https://www.pyramex.net/mini-ztek-pys2510sndp-berushi-31db/,https://www.pyramex.net/wa-data/public/shop/products/54/01/154/images/556/556.750.jpg
Беруши + очки Mini Ztek (PMX) PYS2530SNDP (31ДБ) (Детские) желтые линзы 89% светопропускаемость,PYS2530SNDP,1190,1080,Профессиональные стрелковые очки + беруши Mini Ztek  (PMX) PYS2530SNDP (31ДБ) - противоосколочные защитные очки,https://www.pyramex.net/mini-ztek-pys2530sndp-berushi-31db/,https://www.pyramex.net/wa-data/public/shop/products/55/01/155/images/562/562.750.jpg
iTEK S5830S желтые линзы 89% светопропускаемость,S5830S,1190,1080,Профессиональные баллистические стрелковые очки начального уровня Pyramex - iTEK S5830S - противоосколочные защитные очки,https://www.pyramex.net/itek-s5830s/,https://www.pyramex.net/wa-data/public/shop/products/93/01/193/images/241/241.750.jpg
Беруши + очки Ztek (PMX) PYS2530SDP (31ДБ) желтые линзы 89% светопропускаемость,PYS2530SDP,1190,1080,Профессиональные стрелковые очки + беруши (31ДБ) Mini Ztek  (PMX) PYS2530SDP - противоосколочные защитные очки,https://www.pyramex.net/ochki-ztek-pys2530sdp-berushi-31db/,https://www.pyramex.net/wa-data/public/shop/products/10/03/310/images/687/687.750.jpg
Беруши + очки Ztek (PMX) PYS2510SDP (31ДБ) прозрачные линзы 96% светопропускаемость,PYS2510SDP,1190,1080,Профессиональные стрелковые очки + беруши (31ДБ) Mini Ztek  (PMX) PYS2510SDP - противоосколочные защитные очки,https://www.pyramex.net/ochki-ztek-pys2510sdp-berushi-31db/,https://www.pyramex.net/wa-data/public/shop/products/11/03/311/images/681/681.750.jpg
iTEK S5810STADJ (Anti-Fog) прозрачные линзы 96% светопропускаемость,S5810STADJ,1250,1140,iTEK S5810S прозрачные линзы 96% светопропускаемость,https://www.pyramex.net/itek-s5810stadj-anti-fog-prozrachnye-linzy-96-svetopropuskaemost/,https://www.pyramex.net/wa-data/public/shop/products/86/03/386/images/1124/1124.750.jpg
PMXTREME SB6310SP прозрачные линзы 96% светопропускаемость,SB6310SP,1390,1260,Профессиональные стрелковые очки Pyramex - PMXTREME SB6310SP - противоосколочные защитные очки,https://www.pyramex.net/pmxtreme-sb6310sp/,https://www.pyramex.net/wa-data/public/shop/products/06/02/206/images/312/312.750.jpg
PMXTREME SB6320SP темно-серые линзы 23% светопропускаемость,SB6320SP,1390,1260,Профессиональные стрелковые очки Pyramex - PMXTREME SB6320SP - противоосколочные защитные очки,https://www.pyramex.net/pmxtreme-sb6320sp/,https://www.pyramex.net/wa-data/public/shop/products/08/02/208/images/317/317.750.jpg
Venture 2 SB1810S прозрачные линзы 96% светопропускаемость,SB1810S,1450,1320,Профессиональные баллистические стрелковые очки Pyramex - Venture 2 SB1810S - противоосколочные защитные очки,https://www.pyramex.net/venture-2-rvgsb1810s/,https://www.pyramex.net/wa-data/public/shop/products/31/02/231/images/481/481.750.jpg
Venture 2 SH1830S (Камуфляж) желтые линзы 89% светопропускаемость,SH1830S,1450,1320,Профессиональные баллистические стрелковые очки Pyramex - Venture 2 SH1830S (Камуфлированная оправа) - защитные противоосколочные очки,https://www.pyramex.net/venture-2-sh1830s/,https://www.pyramex.net/wa-data/public/shop/products/37/02/237/images/513/513.750.jpg
Venture 3 SB5730D желтые линзы 89% светопропускаемость,SB5730D,1490,1360,Профессиональные баллистические стрелковые очки Pyramex - Venture 3 SB5730D - защитные противоосколочные очки,https://www.pyramex.net/venture-3-sb5730d/,https://www.pyramex.net/wa-data/public/shop/products/40/02/240/images/528/528.750.jpg
Rendezvous SB2830S желтые линзы 89% светопропускаемость,SB2830S,1490,1360,Rendezvous SB2830S желтые линзы 89% светопропускаемость,https://www.pyramex.net/rendezvous-sb2830s/,https://www.pyramex.net/wa-data/public/shop/products/77/03/377/images/1064/1064.750.jpg
Onix SP4910S прозрачные линзы 96% светопропускаемость,SP4910S,1550,1410,Профессиональные баллистические стрелковые очки Pyramex - Onix SP4910S - противоосколочные защитные очки,https://www.pyramex.net/onix-sp4910s/,https://www.pyramex.net/wa-data/public/shop/products/95/01/195/images/253/253.750.jpg
Intrepid II SB8820S серые линзы 23% светопропускаемость,SB8820S,1550,1410,Intrepid II SB8820S серые линзы 23% светопропускаемость,https://www.pyramex.net/intrepid-ii-sb8820s/,https://www.pyramex.net/wa-data/public/shop/products/71/03/371/images/1005/1005.750.jpg
Onix SB4910S прозрачные линзы 96% светопропускаемость,SB4910S,1550,1410,Onix SB4910S прозрачные линзы 96% светопропускаемость,https://www.pyramex.net/onix-SB4910S/,https://www.pyramex.net/wa-data/public/shop/products/68/04/468/images/1474/1474.750.jpg
Rotator SB7820S темно-серые линзы 23% светопропускаемость,SB7820S,1590,1450,Профессиональные стрелковые очки Pyramex - Rotator SB7820S - противоосколочные очки,https://www.pyramex.net/sb7820s/,https://www.pyramex.net/wa-data/public/shop/products/58/01/158/images/85/85.750.jpg
Rotator SB7880S зеркально-серые линзы 50% светопропускаемость,SB7880S,1750,1590,Профессиональные стрелковые очки Pyramex Rotator SB7880S - противоосколочные очки,https://www.pyramex.net/rotator-sb7880s/,https://www.pyramex.net/wa-data/public/shop/products/60/01/160/images/90/90.750.jpg
PMX5050 SCF6810D прозрачные линзы 96% светопропускаемость,SCF6810D,2190,1990,Профессиональные стрелковые очки Pyramex - PMX5050 SCF6810D - противоосколочные защитные очки,https://www.pyramex.net/pmx5050-scf6810d/,https://www.pyramex.net/wa-data/public/shop/products/03/02/203/images/298/298.750.jpg
PMX5050 SCF6818D коричневые линзы 23% светопропускаемость,SCF6818D,2190,1990,PMX5050 SCF6818D коричневые линзы 23% светопропускаемость,https://www.pyramex.net/pmx5050-scf6818d-korichnevye-linzy-23-svetopropuskaemost/,https://www.pyramex.net/wa-data/public/shop/products/85/03/385/images/1121/1121.750.jpg
IONIX SB8110D прозрачные 96% светопропускаемость,SB8110D,2190,1990,IONIX SB8110D прозрачные 96% светопропускаемость,https://www.pyramex.net/ionix-sb8110d/,https://www.pyramex.net/wa-data/public/shop/products/38/04/438/images/1244/1244.750.jpg
IONIX SB8120D прозрачные 23% светопропускаемость,SB8120DT,2190,1990,IONIX SB8120D прозрачные 23% светопропускаемость,https://www.pyramex.net/ionix-sb8120dt/,https://www.pyramex.net/wa-data/public/shop/products/39/04/439/images/1246/1246.750.jpg
IONIX SB8170D зекально-серебристые 16% светопропускаемость,SB8170D,2190,1990,IONIX SB8170D зекально-серебристые 16% светопропускаемость,https://www.pyramex.net/ionix-sb8170d/,https://www.pyramex.net/wa-data/public/shop/products/40/04/440/images/1253/1253.750.jpg
Venture 2 SGM1880S зеркально-серые 50% светопропускаемость,SGM1880S,2290,2080,Venture 2 SGM1880S зеркально-серые 50% светопропускаемость,https://www.pyramex.net/venture-2-sgm1880s/,https://www.pyramex.net/wa-data/public/shop/products/58/04/458/images/1419/1419.750.jpg
PMXTREME SCM6320STP (Anti-Fog Камуфляж) темно-серые линзы 23% светопропускаемость,SCM6320STP,2390,2170,"PMXTREME SCM6320STP (Anti-Fog, Камуфляж)",https://www.pyramex.net/pmxtreme-scm6320stp/,https://www.pyramex.net/wa-data/public/shop/products/13/02/213/images/593/593.750.jpg
PMXTREME SB6310STRX (Anti-Fog Diopter) прозрачные линзы 96%,SB6310STRX,3190,2900,Профессиональные стрелковые очки Pyramex - PMXTREME SB6310STRX - противоосколочные защитные очки с диоптрической вставкой,https://www.pyramex.net/pmxtreme-sb6310strx/,https://www.pyramex.net/wa-data/public/shop/products/09/03/309/images/638/638.750.jpg
Pagosa VGSB522T (Anti-Fog) темно-зеленые линзы 10% светопропускаемость,VGSB522T,3350,3050,Профессиональные стрелковые очки Pyramex Venture Gear Pagosa VGSB522T (Anti-Fog) - противоосколочные защитные очки,https://www.pyramex.net/pagosa-sb522t/,https://www.pyramex.net/wa-data/public/shop/products/00/02/200/images/278/278.750.jpg
Forum VGSB6610D прозрачные линзы 96% светопропускаемость,VGSB6610D,3490,3180,Профессиональные баллистические стрелковые очки Pyramex Venture Gear - Forum VGSB6610D - противоосколочные защитные очки,https://www.pyramex.net/forum-sb6610d/,https://www.pyramex.net/wa-data/public/shop/products/73/01/173/images/136/136.750.jpg
Forum VGSB6620D темно-серые линзы 23% светопропускаемость,VGSB6620D,3490,3180,Профессиональные баллистические стрелковые очки Pyramex Venture Gear - Forum VGSB6620D - противоосколочные защитные очки,https://www.pyramex.net/forum-sb6620d/,https://www.pyramex.net/wa-data/public/shop/products/74/01/174/images/141/141.750.jpg
Forum VGSB6627D красные линзы 50% светопропускаемость,VGSB6627D,3490,3180,Профессиональные баллистические стрелковые очки Pyramex Venture Gear - Forum VGSB6627D - противоосколочные защитные очки,https://www.pyramex.net/forum-sb6627d/,https://www.pyramex.net/wa-data/public/shop/products/75/01/175/images/144/144.750.jpg
Zumbro VGSBR210T (Anti-Fog) прозрачные линзы 96% светопропускаемость,VGSBR210T,3790,3450,Профессиональные стрелковые очки Pyramex Venture Gear - Zumbro VGSBR210T (Anti-Fog) - противоосколочные защитные очки с антифогом,https://www.pyramex.net/zumbro-vgsbr210t/,https://www.pyramex.net/wa-data/public/shop/products/43/02/243/images/376/376.750.jpg
Carbondale CHRT220D серые 23% светопропускаемость,CHRT220D,3790,3450,Carbondale CHRT220D серые 23% светопропускаемость,https://www.pyramex.net/carbondale-chrt220d/,https://www.pyramex.net/wa-data/public/shop/products/29/04/429/images/1179/1179.750.jpg
Ironside CHB618DT (Anti-Fog) коричневые 23% светопропускаемость,CHB618DT,4590,4180,Ironside CHB618DT (Anti-Fog) коричневые 23% светопропускаемость,https://www.pyramex.net/ironside-chb618dt/,https://www.pyramex.net/wa-data/public/shop/products/41/04/441/images/1259/1259.750.jpg
Tensaw VGSB330T (Anti-Fog) желтые 89% светопропускаемость,VGSB330T,5190,4720,Tensaw VGSB330T (Anti-Fog) желтые 89% светопропускаемость,https://www.pyramex.net/tensaw-vgsb330t/,https://www.pyramex.net/wa-data/public/shop/products/12/04/412/images/1355/1355.750.jpg
Howitzer VGST1310T (Anti-Fog) прозрачные 96% светопропускаемость,VGST1310T,5650,5140,Howitzer VGST1310T (Anti-Fog) прозрачные 96% светопропускаемость,https://www.pyramex.net/howitzer-vgst1310t/,https://www.pyramex.net/wa-data/public/shop/products/04/04/404/images/1199/1199.750.jpg
Howitzer VGST1322T (Anti-Fog) темно-зеленые 10% светопропускаемость,VGST1322T,5650,5140,Howitzer VGST1322T (Anti-Fog) темно-зеленые 10% светопропускаемость,https://www.pyramex.net/howitzer-vgst1322t/,https://www.pyramex.net/wa-data/public/shop/products/05/04/405/images/1205/1205.750.jpg
Semtex 2.0 VGST1410T (Anti-Fog) прозрачные 96% светопропускаемость,VGST1410T,5690,5180,Semtex 2.0 VGST1410T (Anti-Fog) прозрачные 96% светопропускаемость,https://www.pyramex.net/semtex-2.0-vgst1410t/,https://www.pyramex.net/wa-data/public/shop/products/08/04/408/images/1337/1337.750.jpg
Semtex 2.0 VGST1422T (Anti-Fog) темно-зеленые 10% светопропускаемость,VGST1422T,5690,5180,Semtex 2.0 VGST1422T (Anti-Fog) темно-зеленые 10% светопропускаемость,https://www.pyramex.net/semtex-2.0-vgst1422t/,https://www.pyramex.net/wa-data/public/shop/products/09/04/409/images/1341/1341.750.jpg
Drone VGSB8320ST (Anti-Fog) серые линзы 65% светопропускаемость,VGSB8320ST,6390,5810,Профессиональные баллистические стрелковые очки Pyramex Venture Gear Tactical - Drone VGSB8320ST (ANTI-FOG) - противоосколочные защитные очки,https://www.pyramex.net/drone-vgsb8320st/,https://www.pyramex.net/wa-data/public/shop/products/61/01/161/images/100/100.750.jpg
Goliath SB5621D темно-серые линзы 11% светопропускаемость,SB5621D,10190,9270,Профессиональные стрелковые очки Pyramex - Goliath SB5621D - противоосколочные защитные очки,https://www.pyramex.net/goliath-sb5621d/,https://www.pyramex.net/wa-data/public/shop/products/76/01/176/images/150/150.750.jpg
Очки баллистические тактические Pyramex G9WMG Anti-fog сетка черные 0%,G9WMG,1890,1720,G9WMG,https://www.pyramex.net/g9wmg/,https://www.pyramex.net/wa-data/public/shop/products/28/03/328/images/751/751.750.jpg
Crossovr SBG10610DT Anti-fog Прозрачные 86%,SBG10610DT,2250,2050,Crossovr SBG10610DT Anti-fog Прозрачные 86%,https://www.pyramex.net/pyramex-crossovr-sbg10610dt-anti-fog-prozrachnye-86/,https://www.pyramex.net/wa-data/public/shop/products/72/04/472/images/1484/1484.750.jpg
Highlander SBB5080DT (Anti-Fog) зеркально-серые линзы 50% светопропускаемость,SBB5080DT,2350,2140,Профессиональные баллистические тактические  стрелковые очки Pyramex - Highlander SBB5080DT - противоосколочные очки c антифогом,https://www.pyramex.net/highlander-sbb5080dt/,https://www.pyramex.net/wa-data/public/shop/products/79/01/179/images/166/166.750.jpg
G724T (Anti-Fog) серые линзы 23% светопропускаемость,G724T,2450,2230,Pyramex G724T (Anti-fog),https://www.pyramex.net/g724t-anti-fog/,https://www.pyramex.net/wa-data/public/shop/products/43/03/343/images/816/816.750.jpg
Highlander-Plus SBG5080DT (Anti-Fog) зеркально-серые линзы 50% светопропускаемость,SBG5080DT,2550,2320,Highlander-Plus SBG5080DT (Anti-Fog) зеркально-серые линзы 50% светопропускаемость,https://www.pyramex.net/highlander-xp-sbg5080dt/,https://www.pyramex.net/wa-data/public/shop/products/84/01/184/images/192/192.750.jpg
Torser GB10020TM (Anti-Fog) серые 23% светопропускаемость,GB10020TM,2650,2410,Torser GB10020TM (Anti-Fog) серые 23% светопропускаемость,https://www.pyramex.net/torser-gb10020tm/,https://www.pyramex.net/wa-data/public/shop/products/63/04/463/images/1385/1385.750.jpg
V2G GB1820ST (Anti-Fog Diopter ready) темно-серые линзы 23% светопропускаемость,GB1820ST,2790,2540,"Профессиональные тактические очки Pyramex - V2G GB1820ST (Anti-Fog, Diopter ready) - противоосколочные защитные очки с антифогом и диоптрической вставкой",https://www.pyramex.net/v2g-gb1820st/,https://www.pyramex.net/wa-data/public/shop/products/21/02/221/images/432/432.750.jpg
V2G GB1880ST (Anti-Fog Diopter ready) зеркально-серые линзы 50% светопропускаемость,GB1880ST,2790,2540,"Профессиональные тактические очки Pyramex - V2G GB1880ST (Anti-Fog, Diopter ready) - противоосколочные защитные очки с антифогом и диоптрической вставкой",https://www.pyramex.net/v2g-gb1880st/,https://www.pyramex.net/wa-data/public/shop/products/23/02/223/images/442/442.750.jpg
Capstone G604T2 (Anti-Fog Diopter ready) прозрачные линзы 96% светопропускаемость,G604T2,3250,2960,Профессиональная тактическая баллистическая маска Pyramex - Capstone G604T2 - противоосколочные очки,https://www.pyramex.net/capstone-g604t2/,https://www.pyramex.net/wa-data/public/shop/products/52/01/152/images/57/57.750.jpg
V3G GB8230ST (Anti-Fog) желтые линзы 89% светопропускаемость,GB8230ST,3350,3050,Профессиональные тактические очки Pyramex - V3G GB8230ST (Anti-Fog) - противоосколочные защитные очки с антифогом,https://www.pyramex.net/v3g-gb8230st/,https://www.pyramex.net/wa-data/public/shop/products/29/02/229/images/472/472.750.jpg
V3T SB10330ST (Anti-Fog) желтые 50% светопропускаемость,SB10330ST,3550,3230,V3T SB10330ST (Anti-Fog) желтые 50% светопропускаемость,https://www.pyramex.net/v3t-sb10330st/,https://www.pyramex.net/wa-data/public/shop/products/20/04/420/images/1399/1399.750.jpg
V3T SB10380ST (Anti-Fog) серые 23% светопропускаемость,SB10380ST,3550,3230,V3T SB10380ST (Anti-Fog) серые 23% светопропускаемость,https://www.pyramex.net/v3t-sb10380st/,https://www.pyramex.net/wa-data/public/shop/products/21/04/421/images/1404/1404.750.jpg
Isotope GB9410STM (Anti-Fog) прозрачные линзы 96% светопропускаемость,GB9410STM,3750,3410,Isotope GB9410STM,https://www.pyramex.net/gb9410stm/,https://www.pyramex.net/wa-data/public/shop/products/31/03/331/images/721/721.750.jpg
Isotope GB9420STM (Anti-Fog) темно-серые линзы 23% светопропускаемость,GB9420STM,3750,3410,Isotope GB9420STM,https://www.pyramex.net/gb9420stm/,https://www.pyramex.net/wa-data/public/shop/products/32/03/332/images/738/738.750.jpg
Isotope GB9430STM (Anti-Fog) желтые линзы 89% светопропускаемость,GB9430STM,3750,3410,Isotope GB9430STM (Anti-Fog) желтые линзы 89% светопропускаемость,https://www.pyramex.net/gb9430stm/,https://www.pyramex.net/wa-data/public/shop/products/33/03/333/images/731/731.750.jpg
Isotope GB9480STM (Anti-Fog) зеркально-серые линзы 50% светопропускаемость,GB9480ST,3850,3500,Isotope GB9480STM,https://www.pyramex.net/gb9480stm/,https://www.pyramex.net/wa-data/public/shop/products/34/03/334/images/726/726.750.jpg
Toccoa CHRT1010DTMP (Anti-Fog) прозрачные 96% светопропускаемость,CHRT1010DTMP,4690,4270,Toccoa CHRT1010DTMP (Anti-Fog) прозрачные 96% светопропускаемость,https://www.pyramex.net/toccoa-chrt1010dtmp/,https://www.pyramex.net/wa-data/public/shop/products/16/04/416/images/1370/1370.750.jpg
Carthage CHRT410DTP (Anti-Fog) прозрачные 96% светопропускаемость,CHRT410DTP,4850,4410,Carthage CHRT410DTP (Anti-Fog) прозрачные 96% светопропускаемость,https://www.pyramex.net/carthage-chrt410dtp/,https://www.pyramex.net/wa-data/public/shop/products/59/04/459/images/1189/1189.750.jpg
Carthage CHRT420DTP (Anti-Fog) серые 23% светопропускаемость,CHRT420DTP,4850,4410,Carthage CHRT420DTP (Anti-Fog) серые 23% светопропускаемость,https://www.pyramex.net/carthage-chrt420dtp/,https://www.pyramex.net/wa-data/public/shop/products/60/04/460/images/1194/1194.750.jpg
V2G-Plus GB6420SDT (Anti-Fog Diopter ready) серые линзы 23% светопропускаемость,GB6420SDT,4990,4540,"Профессиональные тактические баллистические очки-маска Pyramex - V2G-Plus GB6420SDT (Anti-Fog, Diopter ready) - противоосколочные защитные очки с антифогом и диоптрической вставкой",https://www.pyramex.net/v2g-plus-gb6420sdt/,https://www.pyramex.net/wa-data/public/shop/products/26/02/226/images/457/457.750.jpg
I-Force Slim (Wolfhound) VGSB7030SDNT (Anti-Fog Узкие) желтые линзы 89% светопропускаемость,VGSB7030SDNT,5390,4900,Профессиональные баллистические тактические очки Pyramex Venture Gear I-Force Slim (Wolfhound) VGSB7030SDNT (Узкие) - противоосколочные защитные очки с антифогом,https://www.pyramex.net/i-force-slim-sb7030sdnt/,https://www.pyramex.net/wa-data/public/shop/products/90/01/190/images/225/225.750.jpg
Capstone Shield GG504TSHIELD прозрачные линзы 96% светопропускаемость,G504TSHIELD,5590,5090,Профессиональная тактическая баллистическая маска Pyramex Capstone Shield GG504TSHIELD - противоосколочные очки,https://www.pyramex.net/capstone-g504tshield/,https://www.pyramex.net/wa-data/public/shop/products/51/01/151/images/75/75.750.jpg
XSG-KIT GB4010KIT (3 сменные линзы Anti-Fog),GB4010KIT,9350,8510,Премиальные профессиональные баллистические стрелковые очки Pyramex - XSG-KIT GB4010KIT (3 сменные линзы. Anti-Fog) - защитные противоосколочные очки со сменными линзами и антифоговым покрытием,https://www.pyramex.net/xsg-kit-gb4010kit/,https://www.pyramex.net/wa-data/public/shop/products/42/02/242/images/397/397.750.jpg
PMXEL SB7321DT (Anti-Fog) темно-серые линзы 11% светопропускаемость,SB7321DT,10490,9550,Премиальные профессиональные тактические очки Pyramex - PMXEL SB7321DT (Anti-Fog) - противоосколочные защитные очки,https://www.pyramex.net/pmxel-SB7321DT/,https://www.pyramex.net/wa-data/public/shop/products/05/02/205/images/307/307.750.jpg
G704T (Anti-Fog) прозрачные линзы 96% светопропускаемость,G704T,2150,1960,Pyramex G704T (Anti-fog),https://www.pyramex.net/g704t-anti-fog/,https://www.pyramex.net/wa-data/public/shop/products/42/03/342/images/805/805.750.jpg
Highlander SBB5010DT (Anti-Fog) прозрачные линзы 96% светопропускаемость,SBB5010DT,2290,2080,Профессиональные баллистические тактические  стрелковые очки Pyramex - Highlander SBB5010DT - противоосколочные очки c антифогом,https://www.pyramex.net/highlander-sbb5010DT/,https://www.pyramex.net/wa-data/public/shop/products/77/01/177/images/156/156.750.jpg
Highlander SBB5020DT (Anti-Fog) темно-серые линзы 23% светопропускаемость,SBB5020DT,2290,2080,Профессиональные баллистические тактические  стрелковые очки Pyramex - Highlander SBB5020DT -противоосколочные очки с антифогом,https://www.pyramex.net/highlander-sbb5020dt/,https://www.pyramex.net/wa-data/public/shop/products/78/01/178/images/161/161.750.jpg
Highlander SBR5010DT (Красные Anti-Fog) прозрачные линзы 96% светопропускаемость,SBR5010DT,2290,2080,Профессиональные баллистические тактические  стрелковые очки Pyramex - Highlander SBR5010DT - противоосколочные очки c антифогом,https://www.pyramex.net/highlander-sbr5010dt/,https://www.pyramex.net/wa-data/public/shop/products/80/01/180/images/171/171.750.jpg
Highlander-Plus SBG5020DT (Anti-Fog) темно-серые линзы 23% светопропускаемость,SBG5020DT,2490,2270,Профессиональные баллистические тактические очки Pyramex - Highlander-Plus SBG5020DT - противоосколочные очки c антифогом,https://www.pyramex.net/highlander-xp-sbg5020dt/,https://www.pyramex.net/wa-data/public/shop/products/82/01/182/images/182/182.750.jpg
Highlander-Plus SBG5030DT (Anti-Fog) желтые линзы 89% светопропускаемость,SBG5030DT,2490,2270,Профессиональные баллистические тактические очки Pyramex - Highlander-Plus SBG5030DT - противоосколочные очки c антифогом,https://www.pyramex.net/highlander-xp-sbg5030dt/,https://www.pyramex.net/wa-data/public/shop/products/83/01/183/images/187/187.750.jpg
Torser GB10010TM (Anti-Fog) прозрачные 96% светопропускаемость,GB10010TM,2650,2410,Torser GB10010TM (Anti-Fog) прозрачные 96% светопропускаемость,https://www.pyramex.net/torser-gb10010tm/,https://www.pyramex.net/wa-data/public/shop/products/62/04/462/images/1381/1381.750.jpg
